APT,Origin,TTPs
Indrik Spider,China,"T1003.001,T1587.001,T1136,T1112,T1036.005,T1007,T1583,T1070.001,T1562.001,T1074.001,T1021.001,T1555.005,T1590,T1059.001,T1078.002,T1552.001,T1567.002,T1059.003,T1484.001,T1047,T1078,T1486,T1136.001,T1018,T1059.007,T1585.002,T1105,T1489,T1012,T1558.003,T1204.002,T1021.004,T1584.004"
LuminousMoth,China,"T1539,T1567.002,T1566.002,T1588.001,T1030,T1564.001,T1608.001,T1091,T1041,T1608.004,T1608.005,T1587.001,T1071.001,T1105,T1557.002,T1588.002,T1005,T1204.001,T1574.001,T1547.001,T1083,T1033,T1560,T1036.005,T1112,T1053.005,T1588.004,T1553.002"
Wizard Spider,Russia,"T1136.001,T1588.003,T1210,T1560.001,T1059.003,T1047,T1588.002,T1543.003,T1021.002,T1074,T1078.002,T1055,T1021,T1021.001,T1550.002,T1222.001,T1570,T1204.002,T1053.005,T1027.010,T1070.004,T1552.006,T1048.003,T1518.001,T1218.011,T1558.003,T1059.001,T1567.002,T1112,T1490,T1133,T1547.004,T1036.004,T1087.002,T1518,T1071.001,T1553.002,T1136.002,T1074.001,T1557.001,T1105,T1003.003,T1016,T1585.002,T1033,T1078,T1204.001,T1003.001,T1041,T1566.001,T1003.002,T1489,T1566.002,T1562.001,T1018,T1005,T1082,T1555.004,T1135,T1569.002,T1547.001,T1021.006,T1055.001,T1197"
Elderwood,China,"T1027.013,T1204.002,T1566.002,T1566.001,T1204.001,T1189,T1203,T1105,T1027.002"
FIN7,Russia,"T1204.001,T1553.002,T1078,T1059,T1021.004,T1190,T1027.016,T1033,T1053.005,T1021.005,T1036.005,T1566.002,T1036.004,T1218.011,T1047,T1059.005,T1219,T1059.001,T1546.011,T1559.002,T1069.002,T1021.001,T1674,T1486,T1588.002,T1583.006,T1497.002,T1059.007,T1547.001,T1608.004,T1125,T1571,T1027.010,T1204.002,T1218.005,T1102.002,T1105,T1078.003,T1583.001,T1005,T1543.003,T1091,T1071.004,T1059.003,T1566.001,T1608.001,T1008,T1558.003,T1195.002,T1113,T1567.002,T1210,T1587.001"
Velvet Ant,China,"T1090.001,T1574.001,T1132,T1562.001,T1047,T1059.004,T1571,T1133,T1570,T1040,T1083,T1573.002,T1569.002,T1049,T1037.004,T1055,T1071,T1211,T1078.003,T1036.005,T1021.002,T1562.004"
WIRTE,Unknown,"T1059.001,T1571,T1059.005,T1204.002,T1140,T1566.001,T1036.005,T1588.002,T1071.001,T1218.010,T1105"
Dragonfly,Russia,"T1560,T1113,T1564.002,T1505.003,T1204.002,T1591.002,T1078,T1016,T1584.004,T1083,T1136.001,T1221,T1203,T1110.002,T1608.004,T1562.004,T1012,T1566.001,T1189,T1583.001,T1003.002,T1598.002,T1070.001,T1005,T1070.004,T1059,T1112,T1588.002,T1195.002,T1036.010,T1003.003,T1098.007,T1583.003,T1059.003,T1071.002,T1598.003,T1053.005,T1069.002,T1114.002,T1595.002,T1547.001,T1105,T1133,T1003.004,T1190,T1135,T1110,T1021.001,T1187,T1033,T1074.001,T1059.001,T1210,T1059.006,T1018,T1087.002,T0817,T0862"
OilRig,Iran,"T1588.003,T1555.004,T1082,T1003.001,T1008,T1071.001,T1005,T1059.003,T1021.001,T1505.003,T1587.001,T1608.001,T1036,T1219,T1218.001,T1046,T1087.001,T1137.004,T1069.002,T1113,T1025,T1007,T1556.002,T1059.001,T1070.004,T1588.002,T1204.002,T1133,T1078.002,T1201,T1586.002,T1087.002,T1003.004,T1140,T1553.002,T1048.003,T1110,T1059.005,T1566.002,T1112,T1120,T1071.004,T1105,T1049,T1543.003,T1195,T1204.001,T1078,T1573.002,T1562.004,T1566.001,T1053.005,T1119,T1583.001,T1056.001,T1036.005,T1033,T1566.003,T1572,T1047,T1021.004,T1555,T1115,T1003.005,T1027.013,T1069.001,T1552.001,T1057,T1555.003,T1016,T1203,T1012,T1059,T1497.001,T1068,T1027.005,T0865,T0853,T0869,T0859,T0817"
Equation,USA,"T1564.005,T1120,T1480.001,T1542.002"
